EventName,Label,Default,FileName
GW191103_012549,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW191103_012549,C01:Mixed,True,IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW191103_012549,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW191105_143521,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW191105_143521_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW191105_143521,C01:Mixed,True,IGWN-GWTC3p0-v2-GW191105_143521_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW191105_143521,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW191105_143521_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW191109_010717,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW191109_010717_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW191109_010717,C01:Mixed,True,IGWN-GWTC3p0-v2-GW191109_010717_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW191109_010717,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW191109_010717_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW191113_071753,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW191113_071753_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW191113_071753,C01:Mixed,True,IGWN-GWTC3p0-v2-GW191113_071753_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW191113_071753,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW191113_071753_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW191126_115259,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW191126_115259_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW191126_115259,C01:Mixed,True,IGWN-GWTC3p0-v2-GW191126_115259_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW191126_115259,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW191126_115259_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW191127_050227,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW191127_050227_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW191127_050227,C01:Mixed,True,IGWN-GWTC3p0-v2-GW191127_050227_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW191127_050227,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW191127_050227_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW191129_134029,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW191129_134029_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW191129_134029,C01:Mixed,True,IGWN-GWTC3p0-v2-GW191129_134029_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW191129_134029,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW191129_134029_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW191204_110529,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW191204_110529_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW191204_110529,C01:Mixed,True,IGWN-GWTC3p0-v2-GW191204_110529_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW191204_110529,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW191204_110529_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW191204_171526,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW191204_171526_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW191204_171526,C01:Mixed,True,IGWN-GWTC3p0-v2-GW191204_171526_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW191204_171526,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW191204_171526_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW191215_223052,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW191215_223052_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW191215_223052,C01:Mixed,True,IGWN-GWTC3p0-v2-GW191215_223052_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW191215_223052,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW191215_223052_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW191216_213338,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW191216_213338_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW191216_213338,C01:Mixed,True,IGWN-GWTC3p0-v2-GW191216_213338_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW191216_213338,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW191216_213338_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW191219_163120,C01:IMRPhenomNSBH:HighSpin,False,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_cosmo_reweight_C01:IMRPhenomNSBH:HighSpin.fits
GW191219_163120,C01:IMRPhenomNSBH:LowSpin,False,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_cosmo_reweight_C01:IMRPhenomNSBH:LowSpin.fits
GW191219_163120,C01:IMRPhenomXPHM:HighSpin,False,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM:HighSpin.fits
GW191219_163120,C01:IMRPhenomXPHM:LowSpin,False,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM:LowSpin.fits
GW191219_163120,C01:Mixed,True,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_cosmo_reweight_C01:Mixed.fits
