,ra,dec,ids,bands
0,259.03141730348784,-16.841286691053767,2025062000248,i
1,280.5561984925915,-19.672419954018174,2025062000265,i
2,255.23533368102977,-13.581500213126459,2025062000283,z
3,289.20684359273616,-28.028063613497668,2025062000302,z
4,252.23480643377223,-13.08199250050033,2025062000323,z
5,244.33378488574968,-32.17825861159023,2025062000345,z
6,280.7375486785963,-14.291116534503164,2025062000363,z
7,238.83163375044717,-20.144013526255783,2025062000381,i
8,294.66571480239605,-18.06185066487511,2025062000402,i
9,314.6837797596222,-22.234491572760085,2025062000421,i
10,319.7461703186928,-11.726946401960248,2025062000443,i
11,306.7315536171937,-12.123296273014288,2025062000463,r
12,321.46158278165893,-16.567627369071534,2025062000485,r
13,301.4482286287818,-10.461012912234068,2025062000507,r
14,329.7723093519511,-12.173553711590763,2025062000525,i
15,317.86691050091207,-6.785183968891873,2025062000547,i
16,314.0206829254526,-14.445632818031731,2025062000565,z
17,332.647614958679,-4.392268990416206,2025062000587,z
18,292.06224994700324,-23.054223160359392,2025062000607,z
19,274.35385863889303,-18.923723405859405,2025062000622,z
20,271.27563593276506,-18.524517995059238,2025062000623,z
21,285.69689066063006,-27.877605768132042,2025062000642,z
22,239.54838560416297,-27.27624931359522,2025062200466,r
23,237.62231811892005,-25.03291054028471,2025062200467,r
24,236.00173674781854,-27.71955690887542,2025062200468,r
25,237.92990254098973,-29.95640361903896,2025062200469,r
26,241.56622780029429,-29.484223470150805,2025062200470,r
27,243.68590887355217,-31.663578839763343,2025062200471,r
28,245.2130409509159,-29.058164493689475,2025062200472,r
29,246.6588434756756,-26.46756189972506,2025062200473,r
30,248.85534050749845,-28.700112781342455,2025062200474,r
31,293.3635754407624,-31.385279374348357,2025062200475,r
32,293.6781165658237,-28.26163062745009,2025062200476,r
33,291.55270180138365,-23.27789006557818,2025062200477,r
34,294.05625803472196,-25.14006320881349,2025062200478,r
35,294.5011415136936,-22.0268363303105,2025062200479,r
36,253.29521638537844,-16.768194357547525,2025062300359,r
37,256.3146687796145,-18.05156007779966,2025062300360,r
38,259.3721184747785,-19.258591093564725,2025062300361,r
39,262.42480033628453,-20.27407941858878,2025062300362,r
40,262.68274645404557,-23.059778407249638,2025062300363,r
41,262.9590225673145,-25.84523890694844,2025062300364,r
42,265.80837909161113,-23.969988230103723,2025062300365,r
43,266.177209583258,-26.783439112000938,2025062300366,r
44,263.261165666107,-28.63499936781439,2025062300367,r
45,263.5962718536847,-31.430324577071882,2025062300368,r
46,266.5801020237737,-29.59302052773053,2025062300369,r
47,267.0293993291849,-32.40139711419835,2025062300370,r
48,270.51113654160844,-33.27279621193055,2025062300371,r
49,269.9316980480909,-30.44978431091713,2025062300372,r
50,273.3158636288407,-31.221708739115016,2025062300373,r
51,272.6675665440573,-28.371087657330683,2025062300374,r
52,269.412691269098,-27.618795152224234,2025062300375,r
53,268.93719906681594,-24.77707811150321,2025062300376,r
54,272.0750397771639,-25.504775341918283,2025062300377,r
55,274.55778713468266,-23.262600118343865,2025062300378,r
56,271.51721478144793,-22.617246984349986,2025062300379,r
57,268.4879572440546,-21.917466561067023,2025062300380,r
58,247.83318802826926,-13.146406582070075,2025062300398,i
